City,State,Geo.ID,Flood Instances,Flood Injuries Direct,Flood Injuries Indirect,Total Flood Injuries,Flood Deaths Direct,Flood Deaths Indirect,Total Flood Deaths0,Flood Damage,Heat Instances,Heat Injuries Direct,Heat Injuries Indirect,Total Heat Injuries,Heat Deaths Direct,Heat Deaths Indirect,Total Heat Deaths,Heat Damage,Cold Instances,Cold Injuries Direct,Cold Injuries Indirect,Total Cold Injuries,Cold Deaths Direct,Cold Deaths Indirect,Total Cold Deaths,Cold Damage,Coastal Flood Instances,Coastal Flood Injuries Direct,Coastal Flood Injuries Indirect,Total Coastal Flood Injuries,Coastal Flood Deaths Direct,Coastal Flood Deaths Indirect,Total Coastal Flood Deaths,Coastal Flood Damage
Rochester,MN,1600000US2754880,19,0,0,0,0,0,0,591473,4,0,0,0,0,0,0,0,11,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
Rochester,NY,1600000US3663000,6,0,0,0,0,0,0,591473,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockford,IL,1600000US1765000,10,0,0,0,0,0,0,292779,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseville,CA,1600000US0662938,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacramento,CA,1600000US0664000,7,0,0,0,0,0,0,1000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salem,OR,1600000US4164900,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salinas,CA,1600000US0664224,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salt Lake City,UT,1600000US4967000,3,0,0,0,0,0,0,199670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Antonio,TX,1600000US4865000,119,0,0,0,5,0,5,92279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Bernardino,CA,1600000US0665000,11,0,1,1,0,0,0,25784,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Buenaventura,CA,1600000US0665042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Diego,CA,1600000US0666000,29,0,0,0,0,0,0,3162814,3,75,0,75,1,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
